id	answer_en
ms-SG_001	HDB
ms-SG_002	People's Action Party
ms-SG_003	Naga
ms-SG_004	Changi International Airport
ms-SG_005	October
ms-SG_006	National Museum of Singapore
ms-SG_007	Singapore Dollar
ta-SG_008	HDB
ta-SG_009	People's Action Party
ta-SG_010	Lion Head Fish Tail
ta-SG_011	Changi International Airport
ta-SG_012	August
ta-SG_013	Straits House
ta-SG_014	Singapore Dollar
zh-SG_015	HDB
zh-SG_016	People's Action Party
zh-SG_017	Nile perch
zh-SG_018	Changi International Airport
zh-SG_019	September
zh-SG_020	Straits Village
zh-SG_021	Singapore Dollar
es-EC_022	Quito
es-EC_023	24
es-EC_024	Pico de Oruro
es-EC_025	Ecuadorians
es-EC_026	US dollar
es-EC_027	Galápagos Islands
es-EC_028	Cusco
es-EC_029	Carlos Enrique Sánchez
en-GB_030	Lodore Valley
en-GB_031	Meghan Markle
en-GB_032	Sesame Street
en-GB_033	Doctor Who
en-GB_034	Norman Conquest of England
zh-CN_035	1. October 1
zh-CN_036	Panda
zh-CN_037	Beijing
zh-CN_038	Qu Yuan
zh-CN_039	Yellow River
es-ES_040	Pedro Sánchez
es-ES_041	Football (soccer)
es-ES_042	Don Quijote de la Mancha
es-ES_043	Catedral de Segovia
es-ES_044	Barcelona
es-MX_045	Red, yellow, and green
es-MX_046	A national anthem typically has an author, composer, or both. Common-sense answer: An author is usually a person who writes the lyrics. Common-sense answer: An author is usually a person who writes the lyrics. Common-sense answer: An author is usually a person who writes the lyrics. Common-sense answer: An author is usually a person who writes the lyrics. Common-sense answer: An author is usually a person who writes the lyrics. Common-sense answer: An author is usually a person who writes the lyrics. Common-sense answer: An author is usually a person who writes the lyrics. Common-sense
es-MX_047	Washington, D.C.
es-MX_048	Barack Obama
es-MX_049	"Pancake (commonly known as ""bánh mì"" in Vietnamese)"
id-ID_050	Sukarno
id-ID_051	17 August 1945
id-ID_052	Family reunion
id-ID_053	Pasar umum
id-ID_054	Military parade
ko-KR_055	Banchan, rice cakes, seaweed, and kimchi rolls
