id	lang_region	question_en	answer_en
ar-DZ_001	ar-DZ	What is the emergency telephone number for police in Algeria?	17
ar-DZ_002	ar-DZ	What number should I call for an ambulance in Algeria?	17
ar-DZ_003	ar-DZ	Is there a general emergency number like 911 in Algeria?	17
ar-DZ_004	ar-DZ	What is the fire department emergency number in Algeria?	14
ar-DZ_005	ar-DZ	How do I contact emergency medical services in Algeria?	Dial 15 or 17
ar-DZ_006	ar-DZ	Are emergency services available in multiple languages in Algeria?	Yes
ar-DZ_007	ar-DZ	What should I do first in a medical emergency in Algeria?	Call the emergency number 16
ar-DZ_008	ar-DZ	Is it common to tip emergency responders in Algeria?	No
ar-DZ_009	ar-DZ	What is the official currency used in Algeria?	Algerian dinar
ar-DZ_010	ar-DZ	Is cash still widely accepted in Algeria?	Yes
ar-DZ_011	ar-DZ	Do people mostly use credit cards or mobile payments in Algeria?	Mobile payments
ar-DZ_012	ar-DZ	What is the typical tipping percentage in restaurants in Algeria?	10% to 15% of the bill
ar-DZ_013	ar-DZ	Are prices usually displayed including tax in Algeria?	Yes
ar-DZ_014	ar-DZ	Can I use US dollars easily in Algeria?	No
ar-DZ_015	ar-DZ	What is the name of the central bank in Algeria?	Banque de l'Algérie
ar-DZ_016	ar-DZ	Is haggling common in markets in Algeria?	Yes
ar-DZ_017	ar-DZ	What is a common breakfast dish in Algeria?	Couscous with tagine and bread
ar-DZ_018	ar-DZ	What do people usually eat for lunch in Algeria?	Tagine, couscous, and bread
ar-DZ_019	ar-DZ	What time do people generally have dinner in Algeria?	7:00 PM to 9:00 PM
ar-DZ_021	ar-DZ	What is a traditional national dish in Algeria?	Couscous
ar-DZ_025	ar-DZ	What kind of bread is commonly eaten in Algeria?	Baguette
ar-DZ_026	ar-DZ	Are meals typically served with rice in Algeria?	Yes
ar-DZ_027	ar-DZ	What is a typical dessert in Algeria?	Baklava
ar-DZ_030	ar-DZ	When is New Year's Day celebrated in Algeria?	January 1st
ar-DZ_031	ar-DZ	Is Sunday considered a weekend day in Algeria?	Yes
