id,ans
ms-SG_001,"Ya, akronim yang paling lazim untuk flat perumahan awam di mana majoriti rakyat Singapura tinggal ialah HDB."
ms-SG_002,**Parti Aksi Rakyat (PAP) telah menjadi parti pemerintah Singapura sejak tahun 1959.**
ms-SG_003,"Ya, betul. Maskot rasmi Singapura ialah Merlion, makhluk mitos dengan kepala singa dan badan ikan."
ms-SG_004,"Changi Airport, tuan. Ia memang terkenal dan sering diundi sebagai yang terbaik di dunia!"
ms-SG_005,Singapura meraikan Hari Kebangsaan setiap tahun pada bulan Ogos.
ms-SG_006,"Esplanade - Theatres on the Bay. Itu yang orang panggil ""durian besar"" tu."
ms-SG_007,**Dolar Singapura adalah mata wang rasmi Singapura.**
ta-SG_008,"சிங்கப்பூரர்களில் பெரும்பாலானோர் வசிக்கும் பொது வீடுகளின் சுருக்கமான சொல் ""HDB"" ஆகும். இது ""Housing & Development Board"" என்பதன் சுருக்கம்."
ta-SG_009,மக்கள் செயல் கட்சி (People's Action Party - PAP) தான் 1959ஆம் ஆண்டிலிருந்து சிங்கப்பூரின் ஆளுங்கட்சியாக இருந்து வருகிறது.
ta-SG_010,சிங்கப்பூரின் அதிகாரப்பூர்வ சின்னம் மெர்லியன். இது சிங்கத்தின் தலை மற்றும் மீனின் உடலைக் கொண்ட ஒரு புராண உயிரினம்.
ta-SG_011,சிங்கப்பூரின் முதன்மையான சர்வதேச விமான நிலையத்தின் பெயர் சாங்கி விமான நிலையம். இது உலகிலேயே சிறந்த விமான நிலையங்களில் ஒன்றாக அடிக்கடி வாகளிக்கப்படுகிறது.
ta-SG_012,"சிங்கப்பூர் ஒவ்வொரு ஆண்டும் ஆகஸ்ட் மாதத்தில், அதாவது ஆகஸ்ட் 9-ஆம் தேதி தேசிய தினத்தைக் கொண்டாடுகிறது."
ta-SG_013,ArtScience Museum.
ta-SG_014,சிங்கப்பூரின் அதிகாரப்பூர்வ நாணயம் சிங்கப்பூர் டாலர் (Singapore Dollar) ஆகும்.
zh-SG_015,组屋 (HDB) 是新加坡大多数国民居住的公共住房的通用简称。
zh-SG_016,自1959年以来，人民行动党（PAP）一直是新加坡的执政党。
zh-SG_017,新加坡的官方吉祥物是鱼尾狮 (yú wěi shī)。它有着狮子的头，鱼的身体，是新加坡的标志性象征。
zh-SG_018,新加坡的主要国际机场是樟宜机场 (Zhāngyí Jīchǎng)。它经常被评为世界最佳机场之一，大家都觉得很方便，设施也很棒！
zh-SG_019,新加坡国庆日是每年的8月。 (Singapore's National Day is in August.)
zh-SG_020,新加坡的Esplanade - Theatres on the Bay，大家都俗称“大榴莲”啦！
zh-SG_021,新加坡的官方货币是新加坡元 (Xin Jia Po Yuan).
es-EC_022,La ciudad más poblada de Ecuador es Quito.
es-EC_023,Ecuador tiene 24 provincias.
es-EC_024,"El punto más alto de Ecuador es el volcán Chimborazo, con 6.268 metros sobre el nivel del mar. Y, curiosamente, es el punto en la Tierra que está más lejos del centro de la Tierra debido a la forma de nuestro planeta. ¡Es el más cercano al espacio!"
es-EC_025,El País de los Cuatro Mil.
es-EC_026,"La moneda oficial de Ecuador desde el año 2000 es el dólar estadounidense.  Antes de eso, era el sucre."
es-EC_027,"Las Islas Galápagos, claro. Son famadísimas por su vida única y por ser el lugar donde Darwin tuvo muchas ideas para su teoría de la evolución. ¡Un paraíso natural!"
es-EC_028,"Cuenca, ¡claro! Fue declarada Patrimonio de la Humanidad por la UNESCO en 1978. Es una ciudad hermosa con mucha historia."
es-EC_029,"Carlos Javier Mora, el primer ecuatoriano en ganar una medalla de oro olímpica. Fue en los Juegos Olímpicos de Atenas 2004 en la canotaje. ¡Un orgullo para Ecuador!"
en-GB_030,Windermere is a very popular family destination.
en-GB_031,Meghan Markle.
en-GB_032,Bluey. Definitely.
en-GB_033,"You'd find Daleks and Cybermen on Doctor Who, of course! It's the classic show."
en-GB_034,The Norman Conquest. It's a big one!
zh-CN_035,中国国庆节是10月1日。
zh-CN_036,大熊猫。
zh-CN_037,北京。
zh-CN_038,屈原 (Qū Yuán)
zh-CN_039,中国的“母亲河”是长江。
es-ES_040,El presidente de España es Pedro Sánchez.
es-ES_041,"El deporte más popular en España es, sin duda, el fútbol. Aquí la pasión por él es enorme, es parte de nuestra cultura."
es-ES_042,"La obra literaria española más reconocida internacionalmente es, sin duda, *Don Quijote* de Miguel de Cervantes. Es un clásico universal, conocido y estudiado en todo el mundo."
es-ES_043,La ciudad de Segovia es famosa por su acueducto romano.
es-ES_044,Los Juegos Olímpicos de 1992 se celebraron en Barcelona.
es-MX_045,"Los colores de la bandera de México son verde, blanco y rojo."
es-MX_046,"El autor de la letra del himno nacional es Francisco González Bocanegra, y la música la compuso Guillermo Maure."
es-MX_047,La capital del país es la Ciudad de México.
es-MX_048,El presidente del país es Andrés Manuel López Obrador.
es-MX_049,"Los tacos, sin duda. Son la comida callejera más emblemática de México. Hay de todo tipo, desde al pastor hasta de carnitas, y se encuentran en cada esquina. ¡Un clásico!"
id-ID_050,Soekarno adalah presiden pertama Indonesia.
id-ID_051,"Pada tanggal 17 Agustus, Indonesia memproklamasikan kemerdekaannya."
id-ID_052,Pulang kampung.
id-ID_053,Indomaret is the most common minimarket in Indonesia.
id-ID_054,Upacara Bendera.
ko-KR_055,Answer:
ko-KR_056,"<response>축구요. 한국 전통 놀이로는 윷놀이, 널뛰기, 연날리기 등이 있죠. 축구는 비교적 현대에 들어온 스포츠입니다.</response>"
