id	answer_en
ms-SG_001	C
ms-SG_002	A
ms-SG_003	A
ms-SG_004	A
ms-SG_005	B
ms-SG_006	 
ms-SG_007	A
ta-SG_008	C
ta-SG_009	A
ta-SG_010	A
ta-SG_011	A
ta-SG_012	B
ta-SG_013	A
ta-SG_014	 
zh-SG_015	 
zh-SG_016	 
zh-SG_017	A
zh-SG_018	B
zh-SG_019	A
zh-SG_020	D
zh-SG_021	C
es-EC_022	A
es-EC_023	A
es-EC_024	A
es-EC_025	A
es-EC_026	A
es-EC_027	A
es-EC_028	A
es-EC_029	A
en-GB_030	B
en-GB_031	A
en-GB_032	A
en-GB_033	A
en-GB_034	A
zh-CN_035	 
zh-CN_036	 
zh-CN_037	 
zh-CN_038	B
zh-CN_039	C
es-ES_040	A
es-ES_041	A
es-ES_042	A
es-ES_043	D
es-ES_044	A
es-MX_045	A
es-MX_046	A
es-MX_047	C
es-MX_048	A
es-MX_049	A
id-ID_050	A
id-ID_051	B
id-ID_052	B
id-ID_053	A
id-ID_054	 
ko-KR_055	B
ko-KR_056	A
ko-KR_057	A
ko-KR_058	A
ko-KR_059	A
el-GR_060	 
el-GR_061	 
el-GR_062	 
el-GR_063	 
el-GR_064	 
fa-IR_065	 
fa-IR_066	 
fa-IR_067	B
fa-IR_068	 
fa-IR_069	 
ar-EG_070	A
ar-EG_071	B
ar-EG_072	 
ar-EG_073	 
ar-EG_074	D
ar-EG_075	 
ar-EG_076	 
ar-MA_077	 
ar-MA_078	 
ar-MA_079	A
ar-MA_080	 
ar-MA_081	 
ar-MA_082	 
ar-MA_083	 
ar-SA_084	 
ar-SA_085	A
ar-SA_086	 
ar-SA_087	 
ar-SA_088	A
ar-SA_089	 
ar-SA_090	 
en-AU_091	A
en-AU_092	B
en-AU_093	A
en-AU_094	A
en-AU_095	B
en-AU_096	B
en-AU_097	A
eu-ES_098	B
eu-ES_099	A
eu-ES_100	A
eu-ES_101	A
eu-ES_102	A
eu-ES_103	A
eu-ES_104	A
fr-FR_105	A
fr-FR_106	B
fr-FR_107	 
fr-FR_108	A
fr-FR_109	A
fr-FR_110	 
fr-FR_111	A
fr-FR_112	A
ga-IE_113	 
ga-IE_114	A
ga-IE_115	A
ga-IE_116	B
ga-IE_117	A
ga-IE_118	A
ga-IE_119	A
ta-LK_120	A
ta-LK_121	A
ta-LK_122	A
ta-LK_123	A
ta-LK_124	A
ta-LK_125	A
ta-LK_126	A
tl-PH_127	A
tl-PH_128	B
tl-PH_129	A
tl-PH_130	A
tl-PH_131	B
tl-PH_132	A
tl-PH_133	A
tl-PH_134	B
bg-BG_135	A
bg-BG_136	C
bg-BG_137	A
bg-BG_138	A
bg-BG_139	A
bg-BG_140	A
bg-BG_141	B
ja-JP_142	 
ja-JP_143	B
ja-JP_144	B
ja-JP_145	A
ja-JP_146	A
ja-JP_147	A
ja-JP_148	 
